source,brand,description,original_price,final_price
babyartikel,ABC Design,ABC Design Beratungsbox - Kombi-Kinderwagen mit persönlicher Einzelberatung und 30 Euro Gutscheincode,29.9,29.9
babyartikel,Hauck,Hauck Kombi-Kinderwagen Saturn R Duoset (Sportwagen und Babywanne) - inkl. XXL Zubehörpaket - Caviar Stone,544.76,329.99
babyartikel,ABC Design,"ABC Design Kombi-Kinderwagen Salsa 4 Air Diamond Edition - inkl. Babywanne, Sportsitz & XXL Zubehörpaket - Asphalt",879.86,839.9
babyartikel,Junama,"Junama Kombi-Kinderwagen Diamond Individual inkl. Babywanne, Sportsitz, Wickeltasche & Regenschutz - Schwarz Rosegold",699.99,569.99
babyartikel,Junama,"Junama Kombi-Kinderwagen Diamond Mirror inkl. Sportwagen, Babywanne, Wickeltasche, Beindecke + Zubehörpaket - Schwarz Rose",788.99,619.99
babyartikel,Tako,"Tako Kombi-Kinderwagen Laret Imperial Sportwagen, Babywanne, Wickeltasche, Beindecke, + Zubehörpaket - Beige Schwarz",708.99,579.99
babyartikel,Tako,"Tako Kombi-Kinderwagen Starline inkl. Sportwagen, Babywanne, Wickeltasche, Beindecke & Regenschutz - Grau Schwarz",599.0,509.96
babyartikel,Tako,"Tako Kombi-Kinderwagen Starline Sportwagen, Babywanne, Wickeltasche, Beindecke, + Zubehörpaket - Grau Schwarz",608.99,509.96
babyartikel,Hauck,"Hauck 4in1 Kinderwagen-Set Rapid 4S Plus (bis 25 kg) inkl. Isofix Basis, Regenschutz und Insektenschutz - Lunar Stone",509.94,399.99
babyartikel,ABC Design,"ABC Design 3in1 Kinderwagen-Set Catania 4 - Circle Edition - inkl. Babywanne, Autositz und XXL Zubehörpaket - Woven Graphite",599.9,499.99
babyartikel,ABC Design,"ABC Design 3in1 Kinderwagenset Condor 4 Air - Diamond Special Edition - inkl. Babywanne, Babyschale & Zubehörpaket - Asphalt",854.66,699.99
babyartikel,ABC Design,ABC Design 3in1 Kinderwagen-Set Salsa 4 Air - inkl. Babyschale Tulip & XXL Zubehörpaket - Fashion Edition - Nature,1144.69,1106.7
babyartikel,ABC Design,"ABC Design Kombi-Kinderwagen Viper 4 mit Lufträdern - inkl. Babywanne, Sportsitz & XXL Zubehörpaket - Shadow",739.8,599.9
babyartikel,ABC Design,ABC Design 3in1 Kinderwagen-Set Turbo 4 - inkl. Babyschale Tulip & XXL Zubehörpaket - Shadow,739.6,529.99
babyartikel,ABC Design,"ABC Design Kombi-Kinderwagen Salsa 4 - inkl. Babywanne, Sportsitz & Winter-Fußsack - Fashion Edition - Fox",819.8,649.9
babyartikel,ABC Design,ABC Design 3in1 Kinderwagen-Set Salsa 4 Air - inkl. Babyschale Tulip & XXL Zubehörpaket - Diamond Edition - Dolphin,1094.69,1054.7
babyartikel,ABC Design,"ABC Design Kombi-Kinderwagen Salsa 4 Air - inkl. Babywanne, Sportsitz & XXL Zubehörpaket - Diamond Edition - Dolphin",879.86,839.9
babyartikel,Hauck,Hauck Kinderwagen-Set Soul Plus Trio Set - Berry,529.99,279.99
